hotel_name,Category,Full_Addr,Addr,City,State,Zipcode,Stars,Num_Reviews,url,lat,lng
Fairfield Inn & Suites Dallas Waxahachie,2,"2020 Civic Center Lane Waxahachie, Texas 75165",2020 Civic Center Lane,Waxahachie,TX, 75165,4.5,161,NULL,32.424087,-96.8611086
Courtyard Philadelphia Devon/Villanova,3,"762 W Lancaster Avenue Wayne, Pennsylvania 19087",762 W Lancaster Avenue,Wayne,PA, 19087,4.4,377,NULL,40.0461808,-75.411392
Courtyard Philadelphia Valley Forge/King of Prussia,2,"1100 Drummers Lane Wayne, Pennsylvania 19087",1100 Drummers Lane,Wayne,PA, 19087,4.4,383,NULL,40.0819078,-75.4104815
Courtyard Wayne Fairfield,3,"263 US-46 West Wayne, New Jersey 07470",263 US-46 West,Wayne,NJ, 07470,4.5,151,NULL,40.894429,-74.256101
Residence Inn Wayne,3,"30 Nevins Road Wayne, New Jersey 07470",30 Nevins Road,Wayne,NJ, 07470,4.6,404,NULL,40.9649878,-74.2251318
Residence Inn Waynesboro,3,"44 Windigrove Drive Waynesboro, Virginia 22980",44 Windigrove Drive,Waynesboro,VA, 22980,4.8,440,NULL,38.0620352,-78.9331997
Fairfield Inn & Suites Weatherford,1,"175 Alford Drive Weatherford, Texas 76087",175 Alford Drive,Weatherford,TX, 76087,4.5,345,NULL,32.7266634,-97.7899388
Fairfield Inn & Suites Weatherford,1,"201 North Nevada Weatherford, Oklahoma 73096",201 North Nevada,Weatherford,OK, 73096,4.6,250,NULL,35.5273354,-98.6963391
Fairfield Inn & Suites Houston NASA/Webster,3,"401 West Texas Avenue Webster, Texas 77598",401 West Texas Avenue,Webster,TX, 77598,NULL,NULL,NULL,29.5486135,-95.1341961
Fairfield Inn and Suites Rochester East,2,"915 Hard Road Webster, New York 14580",915 Hard Road,Webster,NY, 14580,4.6,284,NULL,43.2131441,-77.4622646
SpringHill Suites Houston NASA/Webster,3,"1101 Magnolia Avenue Webster, Texas 77598",1101 Magnolia Avenue,Webster,TX, 77598,4.5,462,NULL,29.5242894,-95.1223201
"Envue, Autograph Collection",5,"550 Avenue at Port Imperial Weehawken, New Jersey 07086",550 Avenue at Port Imperial,Weehawken,NJ, 07086,4.6,67,NULL,40.7772674,-74.0111632
Residence Inn Weehawken Port Imperial,5,"100 Ferry Way Weehawken, New Jersey 07086",100 Ferry Way,Weehawken,NJ, 07086,4.4,223,https://cache.marriott.com/marriottassets/marriott/LGARK/lgark-exterior-4952-hor-feat.jpg?resize=375:150 undefined,40.7754078,-74.0111358
Sheraton Lincoln Harbor Hotel,5,"500 Harbor Boulevard Weehawken, New Jersey 07086",500 Harbor Boulevard,Weehawken,NJ, 07086,3.9,899,https://cache.marriott.com/marriottassets/marriott/EWRSL/ewrsl-exterior-6712-hor-feat.jpg?resize=375:150 undefined,40.7588303,-74.0237244
Fairfield Inn & Suites Weirton,2,"139 Amerihost Drive (formerly 11 Amerihost Drive), Three Springs Drive exit Weirton, West Virginia 26062",139 Amerihost Drive (formerly 11 Amerihost Drive) Three Springs Drive exit,Weirton,WV, 26062,4.7,343,https://cache.marriott.com/marriottassets/marriott/PITFW/pitfw-lobby-0017-hor-feat.jpg?resize=375:150 undefined,40.3945966,-80.5502995
Fairfield Inn & Suites Wellington-West Palm Beach,3,"10616 Forest Hill Boulevard Wellington, Florida 33414",10616 Forest Hill Boulevard,Wellington,FL, 33414,4.8,114,https://cache.marriott.com/marriottassets/marriott/PBIFW/pbifw-exterior-7968-hor-feat.jpg?resize=375:150 undefined,26.6492059,-80.2147045
SpringHill Suites Wenatchee,4,"1730 N Wenatchee Ave Wenatchee, Washington 98801",1730 N Wenatchee Ave,Wenatchee,WA, 98801,4.8,460,NULL,47.4483598,-120.3316661
Fairfield Inn & Suites St. Louis West/Wentzville,3,"130 Crossroads South Drive Wentzville, Missouri 63385",130 Crossroads South Drive,Wentzville,MO, 63385,4.6,399,NULL,38.8121125,-90.8749929
Fairfield Inn & Suites Tampa Wesley Chapel,3,"2650 Lajuana Boulevard Wesley Chapel, Florida 33543",2650 Lajuana Boulevard,Wesley Chapel,FL, 33543,4.7,84,NULL,28.1952054,-82.3384432
Courtyard Cincinnati North at Union Centre,2,"6250 Muhlhauser Road West Chester, Ohio 45069",6250 Muhlhauser Road,West Chester,OH, 45069,4.6,417,NULL,39.3277402,-84.4260882
Marriott Cincinnati North,3,"6189 Muhlhauser Road West Chester, Ohio 45069",6189 Muhlhauser Road,West Chester,OH, 45069,4.4,689,https://www.marriott.com/Images/Brands/MHR/Multimedia/MH-Badge-EN-450x85[1].png undefined undefined,39.3246701,-84.425356
Residence Inn Cincinnati North/West Chester,2,"6240 Muhlhauser Road West Chester, Ohio 45069",6240 Muhlhauser Road,West Chester,OH, 45069,4.6,330,NULL,39.3271399,-84.4262112
Aloft Cincinnati West Chester,2,"9183 Centre Point Drive West Chester, Ohio 45069",9183 Centre Point Drive,West Chester,OH, 45069,NULL,NULL,NULL,39.3265475,-84.4264984
Four Points by Sheraton Cincinnati North,2,"7500 Tylers Place Boulevard West Chester, Ohio 45069",7500 Tylers Place Boulevard,West Chester,OH, 45069,3.5,66,NULL,39.3603695,-84.3707868
Residence Inn Columbia West/Lexington,4,"122 Mathias Road West Columbia, South Carolina 29169",122 Mathias Road,West Columbia,SC, 29169,4.7,225,NULL,34.0037422,-81.118013
Marriott Philadelphia  West,4,"111 Crawford Avenue West Conshohocken, Pennsylvania 19428",111 Crawford Avenue,West Conshohocken,PA, 19428,4.2,534,NULL,40.0688085,-75.3096039
Fairfield Inn & Suites Los Angeles West Covina,3,"3211 East Garvey Avenue North West Covina, California 91791",3211 East Garvey Avenue North,West Covina,CA, 91791,4.6,463,NULL,34.0730412,-117.8763337
Courtyard Des Moines West/Jordan Creek,3,"410 S. 68th Street West Des Moines, Iowa 50266",410 S. 68th Street ,West Des Moines,IA, 50266,4.4,412,NULL,41.5641342,-93.7991212
Fairfield Inn & Suites Des Moines West,3,"7225 Vista Drive West Des Moines, Iowa 50266",7225 Vista Drive ,West Des Moines,IA, 50266,4.5,399,NULL,41.5904367,-93.807065
West Des Moines Marriott,4,"1250 Jordan Creek Parkway West Des Moines, Iowa 50266",1250 Jordan Creek Parkway ,West Des Moines,IA, 50266,4.5,510,NULL,41.5886453,-93.8106005
Residence Inn Des Moines West at Jordan Creek Town Center,3,"160 South Jordan Creek Parkway West Des Moines, Iowa 50266",160 South Jordan Creek Parkway ,West Des Moines,IA, 50266,4.7,397,NULL,41.5696546,-93.8112758
SpringHill Suites Des Moines West,3,"1236 Jordan Creek Pkwy West Des Moines, Iowa 50266",1236 Jordan Creek Pkwy ,West Des Moines,IA, 50266,4.2,445,NULL,41.5876136,-93.8100046
Element West Des Moines,3,"575 South Prairie View Drive West Des Moines, Iowa 50266",575 South Prairie View Drive ,West Des Moines,IA, 50266,4.7,166,NULL,41.5618888,-93.7856591
Sheraton West Des Moines Hotel,4,"1800 50th Street West Des Moines, Iowa 50266",1800 50th Street ,West Des Moines,IA, 50266,3.7,509,NULL,41.5994658,-93.7728754
TownePlace Suites Des Moines West/Jordan Creek,3,"125 South 68th Street West Des Moines, Iowa 50266",125 South 68th Street ,West Des Moines,IA, 50266,4.5,265,NULL,41.5679882,-93.8003921
Courtyard Chicago Elgin/West Dundee,1,"2175 Marriott Drive West Dundee, Illinois 60118",2175 Marriott Drive,West Dundee,IL, 60118,4.3,357,NULL,42.0746987,-88.2884994
TownePlace Suites Chicago Elgin/West Dundee,1,"2185 Marriott Drive West Dundee, Illinois 60118",2185 Marriott Drive,West Dundee,IL, 60118,3.9,305,NULL,42.0748698,-88.2870177
Element Fargo,3,"925 19th Avenue East West Fargo, North Dakota 58078",925 19th Avenue East,West Fargo,ND, 58078,4.8,210,NULL,46.8501521,-96.8822222
Residence Inn Providence Coventry,3,"725 Centre of New England Boulevard West Greenwich, Rhode Island 02817",725 Centre of New England Boulevard,West Greenwich,RI, 02817,4.5,387,NULL,41.6602984,-71.5531567
Renaissance Westchester Hotel,4,"80 West Red Oak Lane West Harrison, New York 10604",80 West Red Oak Lane,West Harrison,NY, 10604,4.1,592,NULL,41.0171839,-73.7178014
The West Hollywood EDITION,7,"9040 West Sunset Boulevard West Hollywood, California 90069",9040 West Sunset Boulevard,West Hollywood,CA, 90069,4.7,6,NULL,34.0903827,-118.3891462
Courtyard Pittsburgh West Homestead/Waterfront,3,"401 West Waterfront Drive West Homestead, Pennsylvania 15120",401 West Waterfront Drive,West Homestead,PA, 15120,4.1,573,NULL,40.4058397,-79.920899
Residence Inn Salt Lake City-West Jordan,2,"7558 South Plaza Center Drive West Jordan, Utah 84084",7558 South Plaza Center Drive,West Jordan,UT, 84084,4.5,130,NULL,40.6131847,-111.9828908
Four Points by Sheraton West Lafayette,3,"1600 Cumberland Avenue West Lafayette, Indiana 47906",1600 Cumberland Avenue,West Lafayette,IN, 47906,2.6,215,NULL,40.4599148,-86.9358847
Fairfield Inn & Suites Milwaukee West,4,"4229 West National Avenue West Milwaukee, Wisconsin 53215",4229 West National Avenue,West Milwaukee,WI, 53215,4.5,28,NULL,43.0204867,-87.9673857
Fairfield Inn & Suites West Monroe,3,"606 Mane Street West Monroe, Louisiana 71292",606 Mane Street,West Monroe,LA, 71292,4.6,124,NULL,32.5093594,-92.1835921
Courtyard West Orange,4,"8 Rooney Circle West Orange, New Jersey 07052",8 Rooney Circle,West Orange,NJ, 07052,4.2,482,NULL,40.7954965,-74.2539259
Residence Inn West Orange,4,"107 Prospect Avenue West Orange, New Jersey 07052",107 Prospect Avenue,West Orange,NJ, 07052,4.5,438,NULL,40.8144015,-74.2444812
"The Ben, Autograph Collection",5,"251 N Narcissus Avenue West Palm Beach, Florida 33401",251 N Narcissus Avenue ,West Palm Beach,FL, 33401,NULL,NULL,NULL,26.7148248,-80.0507049
Courtyard West Palm Beach,3,"600 Northpoint Parkway West Palm Beach, Florida 33407",600 Northpoint Parkway ,West Palm Beach,FL, 33407,4,699,NULL,26.7608389,-80.0936923
Courtyard West Palm Beach Airport,4,"1800 Centrepark Drive East West Palm Beach, Florida 33401",1800 Centrepark Drive East ,West Palm Beach,FL, 33401,4.4,504,NULL,26.6949141,-80.0699399
West Palm Beach Marriott,5,"1001 Okeechobee Boulevard West Palm Beach, Florida 33401",1001 Okeechobee Boulevard ,West Palm Beach,FL, 33401,4.3,752,NULL,26.7070862,-80.0633586
Residence Inn West Palm Beach,4,"2461 Metrocentre Boulevard East West Palm Beach, Florida 33407",2461 Metrocentre Boulevard East ,West Palm Beach,FL, 33407,4.1,260,https://cache.marriott.com/marriottassets/marriott/PBIPB/pbipb-exterior-0043-hor-feat.jpg?resize=375:150 undefined,26.7584102,-80.0954378
Residence Inn West Palm Beach Downtown/CityPlace Area,4,"455 Hibiscus Street West Palm Beach, Florida 33401",455 Hibiscus Street West,West Palm Beach,FL, 33401,4.8,483,https://cache.marriott.com/marriottassets/marriott/PBIRD/pbird-exterior-0020-hor-feat.jpg?resize=375:150 undefined,26.7089563,-80.0543218
SpringHill Suites West Palm Beach I-95,4,"2437 Metrocentre Boulevard West Palm Beach, Florida 33407",2437 Metrocentre Boulevard West,West Palm Beach,FL, 33407,4.4,587,https://cache.marriott.com/marriottassets/marriott/PBIWI/pbiwi-dining-0075-hor-feat.jpg?resize=375:150 undefined,26.7581422,-80.094216
